"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01366","Petersham","MA","Worcester, MA","""Worcester, MA-CT""",,4.32367149758454,100,,,246700,0.0811359026369168,3.43815513626834,0.0295987028779894,24.1,0.1,0.0588235294117647,103
"Zip","01368","Royalston","MA","Worcester, MA","""Worcester, MA-CT""",,0.822765700483092,,,,186200,0.431499460625674,-8.09476801579467,0.0228947368421053,65.9,0.158163265306122,0.0645161290322581,103
"Zip","01370","Shelburne","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.749547101449275,,,,234900,-0.0850701829008932,1.29366106080207,,62.5,0.0444444444444444,0.2,100
"Zip","01373","South Deerfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.98928140096618,,,,243400,-0.2050020500205,0.53696819496076,,9.6,0.0647887323943662,0.0217391304347826,100
"Zip","01375","Sunderland","MA","Greenfield Town, MA","""Greenfield Town, MA""",,4.5901268115942,100,,,281500,-0.070997515086972,4.76367696315594,,13.2,0.043956043956044,0.0625,100
"Zip","01376","Turners Falls","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.674064009661836,,,21.8875,167000,0.360576923076923,3.27767470624614,,69.3,0.0945626477541371,0.1,100
"Zip","01420","Fitchburg","MA","Worcester, MA","""Worcester, MA-CT""",,0.495923913043478,75,,7.6902,159500,0.188442211055276,3.3700583279326,0.0272915360501567,64.1,0.224088973024136,0.101372756071806,103
"Zip","01430","Ashburnham","MA","Worcester, MA","""Worcester, MA-CT""",,4.20214371980676,100,,7.2697,215300,1.07981220657277,4.36257876878333,0.025559684161635,33.5,0.127641589180051,0.0794701986754967,103
"Zip","01431","Ashby","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,1.57004830917874,100,,,233100,-0.554607508532423,3.14159292035398,0.021947661947662,60.2,0.0726950354609929,0.146341463414634,75
"Zip","01432","Town of Ayer","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,6.21980676328502,100,,,276800,0.326205146792316,4.84848484848485,0.0193316473988439,35.9,0.0707818930041152,0.0116279069767442,75
"Zip","01440","Gardner","MA","Worcester, MA","""Worcester, MA-CT""",,1.21980676328502,60,,9.5542,158700,0.506649778340722,4.40789473684211,0.0327221172022685,56.6,0.195954487989886,0.111827956989247,103
"Zip","01450","Town of Groton","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,7.85099637681159,100,,,441800,0.386275846398546,6.68920550591645,0.0138841104572205,7.3,0.037199124726477,0.0147058823529412,75
"Zip","01451","Harvard","MA","Worcester, MA","""Worcester, MA-CT""",,5.82503019323671,100,,5.767,547500,-0.382096069868996,4.64449541284404,0.0281242009132421,15.2,0.0421052631578947,0.0277777777777778,103
"Zip","01452","Hubbardston","MA","Worcester, MA","""Worcester, MA-CT""",,5.03623188405797,50,,,235600,0.383468257349808,6.03060306030603,0.0314855687606113,24.5,0.0764119601328904,0.0434782608695652,103
"Zip","01453","Leominster","MA","Worcester, MA","""Worcester, MA-CT""",,2.20939009661836,80,,4.5312,207100,0.339147286821705,4.80769230769231,0.0289039111540319,30.4,0.152158527954706,0.063953488372093,79
"Zip","01460","Littleton","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,7.27958937198068,100,,,422900,0.40360873694207,6.12296110414053,0.0185764956254433,29.4,0.0386473429951691,0.015625,75
"Zip","01462","Town of Lunenburg","MA","Worcester, MA","""Worcester, MA-CT""",,4.57578502415459,85.71,,4.5011,259400,0.0771604938271605,4.68119451170299,0.0335003855050116,20,0.0758196721311475,0.0810810810810811,103
"Zip","01463","Town of Pepperell","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,3.5258152173913,100,,7.1027,305900,0.32797638570023,2.71994627266622,0.0151291271657403,20.4,0.0575356415478615,0.0707964601769911,75
"Zip","01464","Town of Shirley","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,3.89341787439614,100,,,280100,0.250536864710093,5.14264264264264,0.0183041770796144,30.8,0.0857763300760043,0.0632911392405063,75
"Zip","01468","Templeton","MA","Worcester, MA","""Worcester, MA-CT""",,0.667270531400966,66.67,,121.4198,177900,0.0562429696287964,2.89184499710816,0.0277178189994378,69.8,0.128205128205128,0.0695652173913043,103
"Zip","01469","Town of Townsend","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,1.74441425120773,33.33,,10.3977,242100,0.0826787928896238,7.5044404973357,0.0190334572490707,32.6,0.0668647845468053,0.0888888888888889,75
"Zip","01473","Westminster","MA","Worcester, MA","""Worcester, MA-CT""",,3.46089975845411,100,,,230500,0.217391304347826,2.44444444444444,0.026065075921909,22.7,0.120055517002082,0.0751445086705202,103
"Zip","01474","Town of Townsend","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,3.46844806763285,,,,257300,0.155702608018684,6.19067271976888,,,0.07,0.0714285714285714,75
"Zip","01475","Town of Winchendon","MA","Worcester, MA","""Worcester, MA-CT""",,1.07261473429952,,,19.0213,173300,0.173410404624277,3.2777115613826,0.0300346220427006,44.8,0.155483870967742,0.112033195020747,103
"Zip","01501","Auburn","MA","Worcester, MA","""Worcester, MA-CT""",,2.73097826086957,85.71,,6.7554,225300,0.0888494002665482,4.93712156497438,0.0300532623169107,31.9,0.109066577450652,0.0950920245398773,103
"Zip","01503","Berlin","MA","Worcester, MA","""Worcester, MA-CT""",,6.67572463768116,100,,,342700,0.11685655857435,7.0602936582318,0.0300116720163408,29.3,0.093816631130064,0.0227272727272727,103
"Zip","01504","Blackstone","MA","Worcester, MA","""Worcester, MA-CT""",,3.6526268115942,100,,14.9628,250000,0.16025641025641,6.06703436571913,0.03624,33.1,0.0948616600790514,0.111111111111111,103
"Zip","01505","Boylston","MA","Worcester, MA","""Worcester, MA-CT""",,7.10446859903382,100,,,313800,0.319693094629156,7.39219712525667,0.0313957934990439,10.1,0.0723926380368098,0.0677966101694915,103
"Zip","01506","Brookfield","MA","Worcester, MA","""Worcester, MA-CT""",,1.78970410628019,0,,,207800,0.241196333815726,4.5271629778672,0.0314485081809432,37.4,0.118257261410788,0.157894736842105,103
"Zip","01507","Charlton","MA","Worcester, MA","""Worcester, MA-CT""",,3.01781400966184,40,,,273800,0.0730994152046784,5.10556621880998,0.0302373995617238,25.8,0.0762195121951219,0.08,103
"Zip","01510","Town of Clinton","MA","Worcester, MA","""Worcester, MA-CT""",,2.99290458937198,100,,4.9496,215800,0,3.00715990453461,0.0325440222428175,38,0.140860816098379,0.0515873015873016,103
"Zip","01515","Town of East Brookfield","MA","Worcester, MA","""Worcester, MA-CT""",,3.24501811594203,,,,205600,-0.2909796314258,5.48999486916367,0.0310846303501946,14.8,0.15406976744186,0.0566037735849057,103
"Zip","01516","Douglas","MA","Worcester, MA","""Worcester, MA-CT""",,5.31023550724638,100,,,281700,0.284798860804557,4.76013387876534,0.0294888178913737,18.8,0.0918367346938776,0.0763888888888889,103
"Zip","01518","Fiskdale","MA","Worcester, MA","""Worcester, MA-CT""",,3.44580314009662,0,,,285000,0.635593220338983,9.15358100344696,0.0265929824561404,41.6,0.107142857142857,0.0784313725490196,103
"Zip","01519","Grafton","MA","Worcester, MA","""Worcester, MA-CT""",,5.8786231884058,,,16.5743,369300,0.32599837000815,7.3546511627907,0.0393311670728405,26.1,0.0611153552330023,0.05,103
"Zip","01520","Holden","MA","Worcester, MA","""Worcester, MA-CT""",,7.19806763285024,,,1.7224,265900,0.226159065209197,7.0450885668277,0.0321963144039112,21.3,0.0701415701415701,0.0642201834862385,103
"Zip","01521","Town of Holland","MA","Springfield, MA","""Springfield, MA""",,2.99441425120773,100,,,198600,-0.100603621730382,1.89840944073884,0.0159315206445116,38.8,0.0863723608445297,0.111111111111111,112.5
"Zip","01522","Holden","MA","Worcester, MA","""Worcester, MA-CT""",,4.59767512077295,,,,261600,0.383729854182655,5.44135429262394,0.0301873088685016,42.4,0.082089552238806,0.0727272727272727,103
"Zip","01523","Lancaster","MA","Worcester, MA","""Worcester, MA-CT""",,5.34042874396135,100,,,290800,-0.0687285223367698,6.75477239353891,0.0322524071526822,20.5,0.0884718498659517,0.0707070707070707,103
"Zip","01524","Leicester","MA","Worcester, MA","""Worcester, MA-CT""",,2.21316425120773,50,,,218200,0.275735294117647,5.66585956416465,0.0295325389550871,38.8,0.117094017094017,0.0948905109489051,103
"Zip","01527","Millbury","MA","Worcester, MA","""Worcester, MA-CT""",,2.38224637681159,66.67,,,234900,0,6.67574931880109,0.0297105151128139,29.7,0.138916256157635,0.0673758865248227,103
"Zip","01529","Millville","MA","Worcester, MA","""Worcester, MA-CT""",,2.75664251207729,,,,248100,-0.160965794768612,5.48469387755102,0.0320515920999598,25.7,0.141623488773748,0.0853658536585366,103
"Zip","01532","Town of Northborough","MA","Worcester, MA","""Worcester, MA-CT""",,6.84631642512077,66.67,,,379400,0.23778071334214,8.77293577981651,0.0385608856088562,15.4,0.0549927641099855,0.0460526315789474,103
"Zip","01534","Northbridge","MA","Worcester, MA","""Worcester, MA-CT""",,4.57201086956522,0,,,302500,0.165562913907285,6.92824319547543,0.0313553719008264,25.8,0.0788224121557455,0.036144578313253,103
"Zip","01535","Town of North Brookfield","MA","Worcester, MA","""Worcester, MA-CT""",,4.16138285024155,100,,,207500,0.144787644787645,4.5866935483871,0.0315180722891566,35.1,0.0955585464333782,0.0845070422535211,103
"Zip","01536","Grafton","MA","Worcester, MA","""Worcester, MA-CT""",,5.81899154589372,,,11.6563,294100,0.443989071038251,6.51937703730532,0.0335158109486569,11.4,0.091164095371669,0.0461538461538462,103
"Zip","01537","Town of Oxford","MA","Worcester, MA","""Worcester, MA-CT""",,3.34163647342995,0,,,189800,-0.524109014675052,8.76790830945559,0.0418018967334035,30.1,0.138539042821159,0.0363636363636364,103
